id,name,party,party_id,area,email,image,term,source,gender
131,M. SANKARA Jérémie Alexandre Guesséouindé,UNIR/PS,UNIR/PS,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_131.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=131,male
132,Mme BONKOUNGOU/YAMEOGO Juliette,Congrès pour la Démocratie et le Progrès,CDP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_132.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=132,female
133,M. BONZI Tini,Union Pour le Progrès et le Changement,UPC,Mouhoun,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_133.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=133,male
134,M. ABGAS Armand Jean Robert,Union Pour le Progrès et le Changement,UPC,Koulpelgo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_134.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=134,male
135,M. AGALI Ag. Almaouna,Union pour un Burkina Nouveau,UBN,Oudalan,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_135.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=135,male
136,M. AOUE Ataouegue Joël,Union Pour le Progrès et le Changement,UPC,Nahouri,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_136.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=136,male
138,M. BA Saïdou,Mouvement du Peuple pour le Progrès,MPP,Ganzourgou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_138.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=138,male
139,M. BACYE Zilma,Nouvelle Alliance du Faso,NAFA,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_139.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=139,male
140,M. BADO Laurent,Parti de la Renaissance nationale,PAREN,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_140.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=140,male
141,M. BAKYONO Bienvenue Ambroise,Mouvement du Peuple pour le Progrès,MPP,Sanguié,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_141.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=141,male
142,M. BANGOU Yenignia,Mouvement du Peuple pour le Progrès,MPP,Gnagna,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_142.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=142,male
143,M. BARRY Boureima,Mouvement du Peuple pour le Progrès,MPP,Loroum,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_143.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=143,male
144,M. BAZIE Anicet,Nouvelle Alliance du Faso,NAFA,Sanguié,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_144.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=144,male
146,M. BONKOUNGOU Issa Anatole,ODT,ODT,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_146.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=146,male
147,M. COMPAORE Gaoussou,Mouvement du Peuple pour le Progrès,MPP,Bazega,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_147.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=147,male
148,M. COMPAORE Justin,Union Pour le Progrès et le Changement,UPC,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_148.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=148,male
149,M. CONGO Issaka,Congrès pour la Démocratie et le Progrès,CDP,Zoundweogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_149.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=149,male
150,M. COULIBALY Ladji,Union Pour le Progrès et le Changement,UPC,Comoe,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_150.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=150,male
151,M. COULIBALY Lomboza Narcisse,Mouvement du Peuple pour le Progrès,MPP,Banwa,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_151.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=151,male
152,M. DALA Blaise,Congrès pour la Démocratie et le Progrès,CDP,Nahala,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_152.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=152,male
153,M. DIALLO Ahmed Aziz,PDS/METBA,PDS/METBA,Seno,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_153.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=153,male
154,M. DIALLO Mamadou,Mouvement du Peuple pour le Progrès,MPP,Sourou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_154.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=154,male
155,M. DIALLO Ousmane,Congrès pour la Démocratie et le Progrès,CDP,Kourwéoogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_155.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=155,male
156,M. DICKO Hama Moussa,Mouvement du Peuple pour le Progrès,MPP,Seno,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_156.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=156,male
157,M. DICKO Oumarou,Congrès pour la Démocratie et le Progrès,CDP,Soum,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_157.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=157,male
158,M. GNOUMOU Dissan Boureima,Union Pour le Progrès et le Changement,UPC,Tuy,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_158.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=158,male
159,M. GONDE Lansina,Alliance pour la Démocratie et la Fédération / Rassemblement démocratique africain,ADF / RDA,Houet,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_159.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=159,male
160,M. IDANI Oumarou,Mouvement du Peuple pour le Progrès,MPP,Gourma,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_160.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=160,male
161,Mme ILBOUDO/MARCHAL Hélène Marie Laurence,Mouvement du Peuple pour le Progrès,MPP,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_161.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=161,female
162,M. KABORE Tibila,Mouvement du Peuple pour le Progrès,MPP,Kouritenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_162.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=162,male
163,M. KONATE Hervé,Union Pour le Progrès et le Changement,UPC,Kenedougou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_163.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=163,male
164,Mme KONATE/OUATTARA Zignodo Dite Salamata,Mouvement du Peuple pour le Progrès,MPP,Kenedougou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_164.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=164,female
165,M. KONE Maxime,Mouvement du Peuple pour le Progrès,MPP,Kossi,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_165.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=165,male
166,M. KORBEOGO/OUEDRAOGO Fatimata,Union Pour le Progrès et le Changement,UPC,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_166.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=166,male
167,M. KOUAMA Koudwango Raphael,Mouvement du Peuple pour le Progrès,MPP,Kourwéoogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_167.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=167,male
168,M. KOUBIZARA Henri,Mouvement du Peuple pour le Progrès,MPP,Nahouri,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_168.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=168,male
169,M. KOULDIATI Julien,Union Pour le Progrès et le Changement,UPC,Tapoa,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_169.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=169,male
170,M. Lankoandé Emmanuel,Nouveau Temps pour la Démocratie,NTD,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_170.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=170,male
171,M. LANKOANDE Larba Ousmane,Nouveau Temps pour la Démocratie,NTD,Gnagna,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_171.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=171,male
172,M. LOMPO Kourouboundou René,Mouvement du Peuple pour le Progrès,MPP,Komandjari,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_172.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=172,male
173,M. LY Bassirou Karmadji,Mouvement du Peuple pour le Progrès,MPP,Yagha,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_173.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=173,male
174,M. MOSSE Abdoulaye,Mouvement du Peuple pour le Progrès,MPP,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_174.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=174,male
175,M. NABIE Nimayé,Mouvement du Peuple pour le Progrès,MPP,Tuy,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_175.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=175,male
176,M. Nacro Ousmane,Mouvement du Peuple pour le Progrès,MPP,Sissili,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_176.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=176,male
177,M. NAMA Baoui,Le Faso Autrement,Le Faso Autrement,Ziro,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_177.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=177,male
178,M. NOMBRE Kirigahon Alphonse,Congrès pour la Démocratie et le Progrès,CDP,Boulgou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_178.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=178,male
179,M. ODAGOU Goulla,Union Pour le Progrès et le Changement,UPC,Komandjari,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_179.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=179,male
180,M. OUATTARA Kourbié Modibeauh,Mouvement du Peuple pour le Progrès,MPP,Bougouriba,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_180.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=180,male
181,M. OUATTARA Lassina,Mouvement du Peuple pour le Progrès,MPP,Leraba,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_181.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=181,male
182,M. OUATTARA Lona Charles,Union Pour le Progrès et le Changement,UPC,Leraba,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_182.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=182,male
183,M. OUEDRAOGO Abdou Rasmané,Mouvement du Peuple pour le Progrès,MPP,Houet,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_183.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=183,male
184,M. OUEDRAOGO Bachir Ismaël,Mouvement du Peuple pour le Progrès,MPP,Sanmantenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_184.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=184,male
185,M. OUEDRAOGO Bébrigda Mathieu,Mouvement du Peuple pour le Progrès,MPP,Passoré,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_185.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=185,male
186,M. OUEDRAOGO Boubacar,Mouvement du Peuple pour le Progrès,MPP,Yatenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_186.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=186,male
187,M. OUEDRAOGO Jacob,Mouvement du Peuple pour le Progrès,MPP,Yatenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_187.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=187,male
188,Mme OUEDRAOGO Marie Rose Romée,Alliance pour la Démocratie et la Fédération / Rassemblement démocratique africain,ADF / RDA,Yatenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_188.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=188,female
189,M. OUEDRAOGO Mathias,Union Pour le Progrès et le Changement,UPC,Sanmantenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_189.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=189,male
190,M. OUEDRAOGO Michel,Congrès pour la Démocratie et le Progrès,CDP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_190.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=190,male
191,M. OUEDRAOGO Noufou,Alliance pour la Démocratie et la Fédération / Rassemblement démocratique africain,ADF / RDA,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_191.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=191,male
192,M. OUEDRAOGO Ousmane,Congrès pour la Démocratie et le Progrès,CDP,Zondoma,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_192.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=192,male
193,M. OUEDRAOGO Salfo Théodore,RDS,RDS,Sanmantenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_193.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=193,male
194,M. OUEDRAOGO Sayouba,Mouvement du Peuple pour le Progrès,MPP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_194.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=194,male
