id,name,party,party_id,area,email,image,term,source,gender
195,Mme OUEDRAOGO/SAWADOGO Maïmouna,Congrès pour la Démocratie et le Progrès,CDP,Oubritenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_195.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=195,female
196,Mme OUEDRAOGO/ZONGO Marie Isabelle,Mouvement du Peuple pour le Progrès,MPP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_196.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=196,female
197,M. OUOBA Bindi,Mouvement du Peuple pour le Progrès,MPP,Tapoa,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_197.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=197,male
198,M. OUSMANE Alpha,Mouvement du Peuple pour le Progrès,MPP,Oudalan,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_198.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=198,male
199,M. PALENFO Kadjo Jacques,Union Pour le Progrès et le Changement,UPC,Poni,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_199.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=199,male
200,M. POUBERE Salifou,Congrès pour la Démocratie et le Progrès,CDP,Kompienga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_200.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=200,male
201,M. SAWADOGO Salifou,Congrès pour la Démocratie et le Progrès,CDP,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_201.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=201,male
202,Mme ROUAMBA Workya,Mouvement du Peuple pour le Progrès,MPP,Boulkiemde,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_202.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=202,female
203,M. SAKANDE Alassane Bala,Mouvement du Peuple pour le Progrès,MPP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_203.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=203,male
204,Mme SAKANDE/BENAO Kaboubié Reine,Mouvement du Peuple pour le Progrès,MPP,Ziro,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_204.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=204,female
205,M. SAMA Joseph,Mouvement du Peuple pour le Progrès,MPP,Mouhoun,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_205.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=205,male
206,M. SANDWIDI Kayaba,Union Pour le Progrès et le Changement,UPC,Kouritenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_206.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=206,male
207,M. SANFO Halidou,UNIR/PS,UNIR/PS,Passoré,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_207.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=207,male
208,M. SANKARA Bénéwendé Stanislas,UNIR/PS,UNIR/PS,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_208.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=208,male
209,M. SANON Amadou,Union Pour le Progrès et le Changement,UPC,Houet,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_209.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=209,male
210,M. SANON Sangouan Léonce,Mouvement du Peuple pour le Progrès,MPP,Houet,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_210.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=210,male
211,M. SANOU Alfred,Congrès pour la Démocratie et le Progrès,CDP,Houet,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_211.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=211,male
212,M. SAVADOGO Lassané,Mouvement du Peuple pour le Progrès,MPP,Zondoma,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_212.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=212,male
213,M. SAVADOGO Paul Windinpsidi,Congrès pour la Démocratie et le Progrès,CDP,Passoré,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_213.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=213,male
214,M. SAWADOGO Blaise,Congrès pour la Démocratie et le Progrès,CDP,Bam,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_214.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=214,male
215,M. SAWADOGO Emmanuel Koti,Mouvement du Peuple pour le Progrès,MPP,Bam,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_215.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=215,male
216,Mme SAWADOGO Honorine Winnégoundi,Parti de la Renaissance nationale,PAREN,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_216.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=216,female
217,M. SAWADOGO Rasmané Daniel,Congrès pour la Démocratie et le Progrès,CDP,Sanmantenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_217.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=217,male
218,M. SAWADOGO Windyellé,Congrès pour la Démocratie et le Progrès,CDP,Yatenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_218.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=218,male
219,M. SIB BEBE JUSTIN,Mouvement du Peuple pour le Progrès,MPP,Poni,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_219.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=219,male
220,M. SIMBORO Daouda,Union Pour le Progrès et le Changement,UPC,Kossi,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_220.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=220,male
221,M. SIRIMA Bissiri,Mouvement du Peuple pour le Progrès,MPP,Comoe,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_221.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=221,male
222,M. SOME Norbert,Mouvement du Peuple pour le Progrès,MPP,Noumbiel,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_222.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=222,male
223,M. SOME Ollo Ferdinand,Union Pour le Progrès et le Changement,UPC,Noumbiel,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_223.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=223,male
224,M. SOME Tougniné Anselme,Mouvement du Peuple pour le Progrès,MPP,Ioba,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_224.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=224,male
225,M. SORGHO Dieudonné,Mouvement du Peuple pour le Progrès,MPP,Boulgou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_225.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=225,male
226,M. TAMBOURA Ousséni,Mouvement du Peuple pour le Progrès,MPP,Soum,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_226.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=226,male
227,M. TAONDYANDE Fréderic Benoît,Mouvement du Peuple pour le Progrès,MPP,Namentenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_227.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=227,male
228,M. TAPSOBA Tibo Jean Paul,Mouvement du Peuple pour le Progrès,MPP,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_228.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=228,male
229,M. THIOMBIANO Dramane Ludovic Parfait,Union Pour le Progrès et le Changement,UPC,Gourma,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_229.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=229,male
230,M. TIEMTORE Salifo,Mouvement du Peuple pour le Progrès,MPP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_230.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=230,male
231,M. TINDANO Moussa,Union Pour le Progrès et le Changement,UPC,Gnagna,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_231.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=231,male
232,M. TOE Goakûn Rossan Noël,Mouvement du Peuple pour le Progrès,MPP,Nayala,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_232.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=232,male
233,M. TRAORE Désiré,UNIR/PS,UNIR/PS,Banwa,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_233.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=233,male
234,M. TRAORE Kassoum,Union Pour le Progrès et le Changement,UPC,Balé,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_234.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=234,male
235,M. YAMEOGO Winmanagré Saïdou,Congrès pour la Démocratie et le Progrès,CDP,Namentenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_235.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=235,male
236,M. YE Luc,Mouvement du Peuple pour le Progrès,MPP,Balé,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_236.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=236,male
238,M. ZAGRE Léonce,Union Pour le Progrès et le Changement,UPC,Kadiogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_238.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=238,male
239,M. ZERBO Moussa,Union Pour le Progrès et le Changement,UPC,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_239.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=239,male
240,M. ZOMBRE André,Mouvement du Peuple pour le Progrès,MPP,Koulpelgo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_240.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=240,male
241,Mme ZONGO/YANOGO Karidia,Union Pour le Progrès et le Changement,UPC,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_241.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=241,female
242,Mme ZOUMBARE/ZONGO Henriette,Union Pour le Progrès et le Changement,UPC,Boulkiemde,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_242.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=242,female
243,M. ZOUNGRANA Marc,Mouvement du Peuple pour le Progrès,MPP,Oubritenga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_243.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=243,male
246,M. IDO Alitou,Union Pour le Progrès et le Changement,UPC,Sissili,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_246.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=246,male
247,Mme COMPAORE / KONDITAMDE Marie Rose,Union Pour le Progrès et le Changement,UPC,Zoundweogo,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_247.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=247,female
248,M. ZOURE Jean Celestin,Union Pour le Progrès et le Changement,UPC,Boulgou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_248.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=248,male
249,M. BARRY Issa,UNIR/PS,UNIR/PS,Yagha,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_249.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=249,male
250,M. SOME N'Goummion Bernard,Union Pour le Progrès et le Changement,UPC,Ioba,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_250.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=250,male
251,M. SOSSO Adama,Union Pour le Progrès et le Changement,UPC,Sourou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_251.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=251,male
252,M. SABDANO Parimani,Union Pour le Progrès et le Changement,UPC,Kompienga,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_252.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=252,male
253,M. KIEMDE R. Albert Elisée,Union Pour le Progrès et le Changement,UPC,Bazega,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_253.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=253,male
254,M. ZOUNGRANA Yahaya,Congrès pour la Démocratie et le Progrès,CDP,Boulkiemde,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_254.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=254,male
255,M. BOUGOUMA Boureima,Mouvement du Peuple pour le Progrès,MPP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_255.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=255,male
256,M. BADIARA Michel,UNIR/PS,UNIR/PS,Houet,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_256.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=256,male
257,Mme FOFANA / YAMEOGO Assétou,Mouvement du Peuple pour le Progrès,MPP,Boulkiemde,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_257.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=257,female
258,M. TAPSOBA Alexandre Siguian Ousman,Mouvement du Peuple pour le Progrès,MPP,Ganzourgou,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_258.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=258,male
259,M. BARRY Boukary,MDA,MDA,Loroum,"",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_259.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=259,male
260,Dr DIALLO Salifou,Mouvement du Peuple pour le Progrès,MPP,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_260.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=260,""
5,M. DAH KOUMBATERSSOUR NICOLAS,Union Pour le Progrès et le Changement,UPC,"","",http://nosdeputes.assembleenationale.bf/deputes/photos/depute_5.jpg,7,http://www.assembleenationale.bf/spip.php?page=depute&id_article=8&id=5,male
