id,name,party,party_wikipedia,constituency,term,identifier__wikipedia_fo,source
aksel_v._johannesen,Aksel V. Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,2015,Aksel V. Johannesen,
annika_olsen,Annika Olsen,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2015,Annika Olsen,
annita_á_fríðriksmørk,Annita á Fríðriksmørk,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2015,Annita á Fríðriksmørk,
bill_justinussen,Bill Justinussen,Miðflokkurin,Miðflokkurin,Eysturoy,2015,Bill Justinussen,
bjarni_hammer,Bjarni Hammer,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2015,Bjarni Hammer,
bjørn_kalsø,Bjørn Kalsø,Sambandsflokkurin,Sambandsflokkurin,Norðoyar,2015,Bjørn Kalsø,
bárður_nielsen,Bárður Nielsen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,2015,Bárður Nielsen,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2015,Edmund Joensen,
elsebeth_mercedis_gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2015,Elsebeth Mercedis Gunnleygsdóttur,
eyðgunn_samuelsen,Eyðgunn Samuelsen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,2015,Eyðgunn Samuelsen,
hanna_jensen,Hanna Jensen,Framsókn,Framsókn,Suðurstreymoy,2015,Hanna Jensen,
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2015,Henrik Old,
heðin_mortensen,Heðin Mortensen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2015,Heðin Mortensen,
høgni_hoydal,Høgni Hoydal,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2015,Høgni Hoydal,
jacob_vestergaard,Jacob Vestergaard,Fólkaflokkurin,Fólkaflokkurin,Suðuroy,2015,Jacob Vestergaard,
jenis_av_rana,Jenis av Rana,Miðflokkurin,Miðflokkurin,Suðurstreymoy,2015,Jenis av Rana,
jákup_mikkelsen_(politikari),Jákup Mikkelsen,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2015,Jákup Mikkelsen (politikari),
jógvan_skorheim,Jógvan Skorheim,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Norðoyar,2015,Jógvan Skorheim,
jógvan_á_lakjuni,Jógvan á Lakjuni,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,2015,Jógvan á Lakjuni,
jørgen_niclasen,Jørgen Niclasen,Fólkaflokkurin,Fólkaflokkurin,Vágar,2015,Jørgen Niclasen,
kaj_leo_holm_johannesen,Kaj Leo Holm Johannesen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,2015,Kaj Leo Holm Johannesen,
katrin_kallsberg,Katrin Kallsberg,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2015,Katrin Kallsberg,
kristin_michelsen,Kristin Michelsen,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2015,Kristin Michelsen,
kristina_háfoss,Kristina Háfoss,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2015,Kristina Háfoss,
kári_p._højgaard,Kári P. Højgaard,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,2015,Kári P. Højgaard,
magni_arge,Magni Arge,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2015,Magni Arge,
magni_laksáfoss,Magni Laksáfoss,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,2015,Magni Laksáfoss,
magnus_rasmussen,Magnus Rasmussen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2015,Magnus Rasmussen,
poul_michelsen,Poul Michelsen,Framsókn,Framsókn,Suðurstreymoy,2015,Poul Michelsen,
páll_á_reynatúgvu,Páll á Reynatúgvu,Tjóðveldi,Tjóðveldi,Sandoy,2015,Páll á Reynatúgvu,
rigmor_dam,Rigmor Dam,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2015,Rigmor Dam,
sirið_stenberg,Sirið Stenberg,Tjóðveldi,Tjóðveldi,Suðuroy[4],2015,Sirið Stenberg,
sonja_jógvansdóttir,Sonja Jógvansdóttir,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2015,Sonja Jógvansdóttir,
aksel_v._johannesen,Aksel V. Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,2011,Aksel V. Johannesen,
alfred_olsen,Alfred Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2011,Alfred Olsen,
annika_olsen,Annika Olsen,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2011,Annika Olsen,
bill_justinussen,Bill Justinussen,Miðflokkurin,Miðflokkurin,Eysturoy,2011,Bill Justinussen,
bjarni_djurholm,Bjarni Djurholm,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2011,Bjarni Djurholm,
bjørn_kalsø,Bjørn Kalsø,Sambandsflokkurin,Sambandsflokkurin,Norðoyar,2011,Bjørn Kalsø,
bjørt_samuelsen,Bjørt Samuelsen,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2011,Bjørt Samuelsen,
bárður_á_steig_nielsen,Bárður á Steig Nielsen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,2011,Bárður á Steig Nielsen,
edva_jacobsen,Edva Jacobsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2011,Edva Jacobsen,
elsebeth_mercedis_gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2011,Elsebeth Mercedis Gunnleygsdóttur,
eyðgunn_samuelsen,Eyðgunn Samuelsen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,2011,Eyðgunn Samuelsen,
gerhard_lognberg,Gerhard Lognberg,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,2011,Gerhard Lognberg,
gunvør_balle,Gunvør Balle,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2011,Gunvør Balle,
hanus_samró,Hanus Samró,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2011,Hanus Samró,
helgi_abrahamsen,Helgi Abrahamsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2011,Helgi Abrahamsen,
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2011,Henrik Old,
høgni_hoydal,Høgni Hoydal,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2011,Høgni Hoydal,
jacob_vestergaard,Jacob Vestergaard,Fólkaflokkurin,Fólkaflokkurin,Suðuroy,2011,Jacob Vestergaard,
janus_rein,Janus Rein,Framsókn,Framsókn,Suðurstreymoy,2011,Janus Rein,
jenis_av_rana,Jenis av Rana,Miðflokkurin,Miðflokkurin,Suðurstreymoy,2011,Jenis av Rana,
johan_dahl,Johan Dahl,Sambandsflokkurin,Sambandsflokkurin,Suðuroy,2011,Johan Dahl,
jákup_mikkelsen_(politikari),Jákup Mikkelsen,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2011,Jákup Mikkelsen (politikari),
jógvan_á_lakjuni,Jógvan á Lakjuni,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,2011,Jógvan á Lakjuni,
jørgen_niclasen,Jørgen Niclasen,Fólkaflokkurin,Fólkaflokkurin,Vágar,2011,Jørgen Niclasen,
kaj_leo_holm_johannesen,Kaj Leo Holm Johannesen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,2011,Kaj Leo Holm Johannesen,
kristin_michelsen,Kristin Michelsen,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2011,Kristin Michelsen,
kristina_háfoss,Kristina Háfoss,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2011,Kristina Háfoss,
kári_p._højgaard,Kári P. Højgaard,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,2011,Kári P. Højgaard,
poul_michelsen,Poul Michelsen,Framsókn,Framsókn,Suðurstreymoy,2011,Poul Michelsen,
páll_á_reynatúgvu,Páll á Reynatúgvu,Tjóðveldi,Tjóðveldi,Sandoy,2011,Páll á Reynatúgvu,
rigmor_dam,Rigmor Dam,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2011,Rigmor Dam,
rósa_samuelsen,Rósa Samuelsen,Sambandsflokkurin,Sambandsflokkurin,Vágar,2011,Rósa Samuelsen,
sirið_stenberg,Sirið Stenberg,Tjóðveldi,Tjóðveldi,Suðuroy[1],2011,Sirið Stenberg,
alfred_olsen,Alfred Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2008,Alfred Olsen,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2008,Anfinn Kallsberg,
annika_olsen,Annika Olsen,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2008,Annika Olsen,
annita_á_fríðriksmørk,Annita á Fríðriksmørk,Tjóðveldi,Tjóðveldi,Eysturoy,2008,Annita á Fríðriksmørk,
bergtóra_høgnadóttir_joensen,Bergtóra Høgnadóttir Joensen,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2008,Bergtóra Høgnadóttir Joensen,
bill_justinussen,Bill Justinussen,Miðflokkurin,Miðflokkurin,Eysturoy,2008,Bill Justinussen,
bjørn_kalsø,Bjørn Kalsø,Sambandsflokkurin,Sambandsflokkurin,Norðoyar,2008,Bjørn Kalsø,
bjørt_samuelsen,Bjørt Samuelsen,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2008,Bjørt Samuelsen,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2008,Edmund Joensen,
gerhard_lognberg,Gerhard Lognberg,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,2008,Gerhard Lognberg,
hans_pauli_strøm,Hans Pauli Strøm,Javnaðarflokkurin,Javnaðarflokkurin,Norðurstreymoy,2008,Hans Pauli Strøm,
heini_o._heinesen,Heini O. Heinesen,Tjóðveldi,Tjóðveldi,Norðoyar,2008,Heini O. Heinesen,
helena_dam_á_neystabø,Helena Dam á Neystabø,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2008,Helena Dam á Neystabø,
hergeir_nielsen,Hergeir Nielsen,Tjóðveldi,Tjóðveldi,Suðuroy,2008,Hergeir Nielsen,
høgni_hoydal,Høgni Hoydal,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2008,Høgni Hoydal,
jacob_vestergaard,Jacob Vestergaard,Fólkaflokkurin,Fólkaflokkurin,Suðuroy,2008,Jacob Vestergaard,
jenis_av_rana,Jenis av Rana,Miðflokkurin,Miðflokkurin,Suðuroy,2008,Jenis av Rana,
johan_dahl,Johan Dahl,Sambandsflokkurin,Sambandsflokkurin,Suðuroy,2008,Johan Dahl,
john_johannessen,John Johannessen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2008,John Johannessen,
jákup_mikkelsen,Jákup Mikkelsen,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2008,Jákup Mikkelsen,
jákup_mikkelsen_(politikari),Jákup Mikkelsen,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2008,Jákup Mikkelsen (politikari),
jóannes_eidesgaard,Jóannes Eidesgaard,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2008,Jóannes Eidesgaard,
jógvan_á_lakjuni,Jógvan á Lakjuni,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,2008,Jógvan á Lakjuni,
jørgen_niclasen,Jørgen Niclasen,Fólkaflokkurin,Fólkaflokkurin,Vágar,2008,Jørgen Niclasen,
kaj_leo_johannesen,Kaj Leo Johannesen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,2008,Kaj Leo Johannesen,
karsten_hansen,Karsten Hansen,Miðflokkurin,Miðflokkurin,Norðoyar,2008,Karsten Hansen,
katrin_dahl_jakobsen,Katrin Dahl Jakobsen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2008,Katrin Dahl Jakobsen,
kári_p._højgaard,Kári P. Højgaard,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,2008,Kári P. Højgaard,
kári_á_rógvi,Kári á Rógvi,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Suðurstreymoy,2008,Kári á Rógvi,
magni_laksáfoss,Magni Laksáfoss,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,2008,Magni Laksáfoss,
poul_michelsen,Poul Michelsen,Fólkaflokkurin / Framsókn,Fólkaflokkurin,Suðurstreymoy,2008,Poul Michelsen,
rósa_samuelsen,Rósa Samuelsen,Sambandsflokkurin,Sambandsflokkurin,Vágar,2008,Rósa Samuelsen,
sjúrður_skaale,Sjúrður Skaale,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2008,Sjúrður Skaale,
tórbjørn_jacobsen,Tórbjørn Jacobsen,Tjóðveldi,Tjóðveldi,Eysturoy,2008,Tórbjørn Jacobsen,
alfred_olsen,Alfred Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2004,Alfred Olsen,
andrias_petersen,Andrias Petersen,Javnaðarflokkurin,Javnaðarflokkurin,Eysturoy,2004,Andrias Petersen,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2004,Anfinn Kallsberg,
annita_á_fríðriksmørk,Annita á Fríðriksmørk,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,2004,Annita á Fríðriksmørk,
bill_justinussen,Bill Justinussen,Miðflokkurin,Miðflokkurin,Eysturoy,2004,Bill Justinussen,
bjarni_djurholm,Bjarni Djurholm,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2004,Bjarni Djurholm,
bárður_nielsen,Bárður Nielsen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,2004,Bárður Nielsen,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2004,Edmund Joensen,
finnur_helmsdal,Finnur Helmsdal,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,2004,Finnur Helmsdal,
gerhard_lognberg,Gerhard Lognberg,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,2004,Gerhard Lognberg,
heidi_petersen,Heidi Petersen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðurstreymoy,2004,Heidi Petersen,
hergeir_nielsen,Hergeir Nielsen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðuroy,2004,Hergeir Nielsen,
heðin_zachariasen,Heðin Zachariasen,Fólkaflokkurin,Fólkaflokkurin,Norðurstreymoy,2004,Heðin Zachariasen,
høgni_hoydal,Høgni Hoydal,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,2004,Høgni Hoydal,
jenis_av_rana,Jenis av Rana,Miðflokkurin,Miðflokkurin,Suðurstreymoy,2004,Jenis av Rana,
johan_dahl,Johan Dahl,Sambandsflokkurin,Sambandsflokkurin,Suðuroy,2004,Johan Dahl,
john_johannessen,John Johannessen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2004,John Johannessen,
jóannes_eidesgaard,Jóannes Eidesgaard,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2004,Jóannes Eidesgaard,
jógvan_við_keldu,Jógvan við Keldu,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2004,Jógvan við Keldu,
jógvan_á_lakjuni,Jógvan á Lakjuni,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,2004,Jógvan á Lakjuni,
jørgen_niclasen,Jørgen Niclasen,Fólkaflokkurin,Fólkaflokkurin,Vágar,2004,Jørgen Niclasen,
kaj_leo_johannesen,Kaj Leo Johannesen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,2004,Kaj Leo Johannesen,
karsten_hansen,Karsten Hansen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðoyar,2004,Karsten Hansen,
kristian_magnussen,Kristian Magnussen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2004,Kristian Magnussen,
kári_p._højgaard,Kári P. Højgaard,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,2004,Kári P. Højgaard,
lisbeth_l._petersen,Lisbeth L. Petersen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,2004,Lisbeth L. Petersen,
marjus_dam,Marjus Dam,Sambandsflokkurin,Sambandsflokkurin,Vágar,2004,Marjus Dam,
poul_michelsen,Poul Michelsen,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2004,Poul Michelsen,
páll_á_reynatúgvu,Páll á Reynatúgvu,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Sandoy,2004,Páll á Reynatúgvu,
sverre_midjord,Sverre Midjord,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2004,Sverre Midjord,
